Taxa	HD	SPAD	HT	LDG1	LDG2	CRSEV	CRCL	CRCI	NN	MINL	SINL	NPCM	NDEV	PEDA	AD1	AD2	AD3	AD4	AD5	RD	RL	RIN1L	RB1A	RCA	KA	KP	KC	KH	KD	KDH	KD_KH	KDH_KH	KDEN	SN	SNU	SNL	SMA	SSA	SMP	SSP	SMR	SR	SMD	SSMD	MAM	SECC	SSOL	SCIR	SPSA	SNU_SNL	PA	PP	PC	PD	PH	PDH	PD_PH	PDH_PH	PDEN	CHDEN	G	B	AVRGB	I	NR	NG	NB	GR	BG	BR	GBD	RBD	ExR	ExG	EGERDI	ERGBVE	GRAY	RI	L	NRBDI	NGBDI	NGRDI	MGRV	GLI	GLAI	RGBVI	VEG	VARI	VVI	HUE	HUErgb	HUE2	SAT	S	BI	BIM	HI	CI	SHP	SCI
CI1712	1.20696141610613	-0.138521247688596	2.20925388035558	0.942291730246267	0.270616817887153	-0.881013736147498	-1.73834142461102	-1.54402482641568	0.749282120192163	1.79138066874636	1.80172081955866	-1.94702469793393	2.33033469174287	1.33232039682072	0.0977429402194879	0.593012385390771	0.876865764573423	-1.072403596274	-0.91372299934452	NA	2.32753060190705	1.5690021892471	-1.16550710730888	-0.664002121758633	1.47817789363872	1.89763222676529	-0.438868311709511	2.60793618583875	0.555324685353158	1.87088331515488	-0.858487479984977	0.582523431846257	-0.670959518349479	2.05518721607634	0.442665371749896	-0.690458177562615	-1.61918063914707	1.41616314711646	-0.781587248594672	1.65979962471191	-1.62967402358319	-0.0635853155279152	-1.62967403592323	1.97079489873198	-1.34774145190746	0.570413787469519	-0.47347662521045	-1.21896408161716	2.51941054049389	1.47702714374526	1.02590969481449	0.262705629881821	1.27951297257565	0.282300682155909	1.76611529555891	1.87912136349021	-1.26534508780221	0.920091441974379	-0.213836485083116	0.770030880968189	-1.05160826829406	-1.14891945914518	-0.986219700917426	-0.885562974805527	1.66975886777747	0.207829709038435	-1.13521131466511	-1.61712518299515	-1.06788847157591	-1.24044036132183	0.710724925751907	0.752970958652971	-0.378844312600168	0.1827420159802	0.434502765827762	0.949939477282462	-0.955897573063887	1.39998010447341	-0.832963031180209	1.23309667764385	1.09749520573234	-1.71797728672027	-1.91507559116789	0.585041160410148	-1.43271639579283	0.949939480220318	0.830388397573866	-1.25437442353045	1.27663395433147	0.133955293698713	-0.0968881169233013	1.08719258325787	1.22685796503203	1.16979290351798	-0.931596641908709	-1.10610718997749	0.0984671590010945	1.23309836368064	1.29939728932616	1.61442357940534
CI4706	0.105394423035117	-0.994490058879083	-0.22202612764237	-0.31989715148013	0.970941461479482	-0.243658091713581	-0.867858644934823	-0.75467693092746	-0.135233802791009	-1.12612471007512	-0.986920780492718	0.97096997674008	-0.0439030339997518	-0.572750021093322	1.20611369154951	-0.977284996601209	-1.78749696593166	1.57262393946397	1.71677160787226	-0.84422672325153	-1.06633826463314	-1.22209441136312	0.565185313488404	0.178524281613735	-0.000450243522379225	-0.414239747952097	1.24716104644525	-1.05935062183894	0.639034623441976	-0.823179151840019	1.82355606227593	-0.632086028461134	-0.108483174419971	-0.409531604952833	-1.2312727735081	-0.690458177562615	0.453752630842675	-0.28466546194178	0.604702553736311	-0.112993579972724	0.835778441811955	-0.519198180434709	0.835778431366326	-0.300941861435603	1.19451043298595	1.04034357126801	0.527710446940414	-0.664589962162006	-0.133429177952712	-0.817624834390407	-0.706497842954798	1.11186054111037	-1.5359411019305	-0.448450984672857	-1.08238628999458	-1.73804562325872	0.532644370333537	-1.86140429703793	0.880776307899268	1.19098056298503	0.431527849963055	0.622423812549274	0.534440208364949	0.521569514184147	-0.38811069696553	-0.797601784554357	0.672727794242386	-0.489185731051141	0.746930503172238	0.598330371205154	-0.643793551785778	-0.103699704356548	0.705081807084755	-1.05665844358553	-0.939050019512865	-0.934399802267463	0.483878054040251	-0.395755682680128	0.491169159584842	-0.557993704979154	-0.732701453622847	-0.493657674106876	-0.493730549150546	-1.00289573919592	-0.830281051868927	-0.934399794654169	-0.730274859844367	-0.767353160789103	-0.553733658840162	0.139860400347959	-1.05761379458489	-0.670086660869452	-0.558163653695803	-0.6330911375201	0.514260840399604	0.26635364353798	1.04643738544512	-0.557983777159515	-0.476624918598517	0.488550399507541
CI7035	0.983944264303062	-1.14666229197961	0.499320619670822	-0.31989715148013	0.270616817887153	0.318574256132333	-1.73834142461102	-1.27164317445281	-0.135233802791009	-1.25697342842535	-1.2951442916132	1.24133002891415	-0.162725059426387	-0.19923113458636	-0.807361572097334	-0.00658723358874805	0.0275545423632982	-0.0773648289346865	-0.205774193242932	NA	-1.21735614186325	-2.20365366847197	0.678455213577749	0.0521685513597711	-0.964526957021536	-1.22890465616748	0.154991446124224	-1.19157382404338	-0.727022899144017	-0.525333355962091	-0.156147185609712	-0.217430320480315	0.879088222739595	-0.758661381175695	1.24227074146742	0.689742297420145	0.668087336487445	-0.596282807298809	0.761313912325418	-0.455454247717362	0.918879965541423	1.717612961145	0.918879955153487	-0.665510996852138	1.34593766763441	0.934814142631225	-0.136757694630837	-0.68381615194556	-0.34575787568013	0.600861161743915	-0.737030677810359	-0.258204760893922	-0.929682626218672	-0.508679383047558	-1.06111681196837	0.164317560061679	0.409760204538072	0.669047252331924	0.619740577871985	0.00799322115969233	0.0631095929451729	0.0876983770481262	0.0998850094704899	0.143026218788611	0.120669644053591	-0.451798441213331	0.148483128975514	-0.627887847800336	0.146501772280929	0.0363808920969646	0.0744826430905855	0.166718584847965	0.27778919382209	-0.408065746051457	-0.20907437301258	-0.0908204186677003	0.0903657996032834	0.225287805329749	0.133559770759502	0.0523998112996816	-0.0316941789446165	-0.641508804360812	-0.659447762159633	-0.25185613573063	-0.769230873285258	-0.0908204239397583	-0.269173364813347	-0.71720763722114	0.128652252571411	0.137124269339795	-0.522999537078573	0.0951114739386767	0.0501626584175471	0.0117071707723814	0.0952776804429716	-0.503360532384139	0.517583556136748	0.0524079301442276	0.237389696105407	0.626998435651332
CI8000	1.545511629894	-1.58415746214364	1.21981995534831	-0.31989715148013	-0.679515609492065	-0.243658091713581	-1.6040981164469	-1.29769636595426	0.749282120192163	-0.755998236218301	0.402691505431326	0.367419963643762	-0.963032873997903	-0.755250000056045	1.62635410233975	1.61127033448013	1.92716498960811	-2.23496161629177	-1.32174308939511	NA	0.36307911536505	1.92053718512356	-2.11632546510773	0.470450317711532	-1.07840121751	-0.282400426576781	-2.05445185124472	0.312893648160876	-1.51843715854161	1.50465392955605	-1.73176893898679	1.72934302906956	0.255470233603014	-0.758661381175695	1.38896359035401	1.6606539918039	-1.0804059612626	-1.53237329507764	-1.00384888610705	-1.24579795757603	-0.426807435739164	-1.05902165912031	-0.426807425144583	-0.958692213296928	0.141656699064691	1.52023373281872	1.34727040776595	0.485950727738097	0.905321195051107	-0.371694492232631	-1.18239526661132	-1.11973120694807	-0.86265614681253	-1.62907937751719	-0.214949512226134	-0.807731204019552	-1.78883804064717	-0.743574863442013	0.156321811241472	-2.10422836243972	-4.65132312571394	-2.50317238063628	-3.56623677369966	-3.90904471628784	1.49553656669727	2.08201946590714	-1.92513096284219	0.976566394532421	-1.85015542685637	-1.81842208778859	-1.3165732300485	-2.89835597258196	-2.96496636421364	0.730323533099796	1.59634175783551	1.62266021422763	-4.03899085953375	2.09992141595924	-4.15577432429287	1.70282793645521	1.70908765859599	1.02009440557398	1.09481816588993	1.68264109552144	1.59503363176076	1.62266021359193	2.46979747340924	1.47631240975006	2.12499085539178	-0.0323536487474505	1.74916612617554	1.55077117878694	1.6949956966103	1.71265126336858	-3.78790254496221	-1.23873405470038	-1.73321538591101	1.70282552086814	1.39414078273096	-0.974516669331337
CI9416	1.12847793714229	0.413103097300829	-2.3921306282873	-0.31989715148013	-2.1048293685565	-0.881013736147498	-0.537624106549354	-0.732610611094071	-0.135233802791009	-1.43372955775065	-0.909549712022237	0.900941885311971	0.582391515221947	1.43245485385234	1.27031011730243	-0.822745584498078	0.601708878560739	-0.79485811760989	0.257938179094862	NA	-1.07241921154254	-1.5475903008709	-0.625584884276799	-0.202154621264202	-0.767937427436118	-1.14781693351343	0.689180656299429	-1.06471931120554	-0.522882679167277	0.833332962418285	0.031447786913131	1.97538277972729	0.780636486518949	-0.492821977303647	0.266346755056466	-0.336707143778711	0.42093892396575	-0.403729599527358	-0.00573008162523738	-0.437984214194433	1.63640545819061	-1.46839817852277	1.63640544828671	-0.200934565597164	1.86787273256294	1.60216727623288	1.76839095647842	0.741618488898141	-1.0577474945774	0.858352597047988	-0.575042782360089	-1.89534108726711	0.503359342032983	-0.14904884249302	-1.21518660569411	-0.163974912631186	1.21388867747296	0.285654740664852	0.593508964374849	-1.2568226075814	0.834156259535825	0.552902237746719	0.785285037904389	0.732185219208455	-0.178143457056071	-0.147884413627095	0.16100800448096	0.049982964867709	0.0665892305374208	0.120552901678734	0.920501584805154	1.02119232186412	0.917310268809437	0.492146393798382	-0.108878120912677	0.193137008929648	0.831022519807248	-0.728494629709691	0.775646904244071	-0.0348006200074091	0.0529250459412901	0.0736489402903075	0.125544246192699	0.196051191557141	0.149785568444538	0.193137007246206	-0.399614566235759	0.062224494658913	-0.840384558640324	0.141857658088109	0.149151030631554	0.177739325382189	-0.0367423919271472	-0.00220198238305857	0.812012080530156	1.05863021727982	-0.14310564175816	-0.0347921810410528	0.142569764895011	-0.0496306306679372
Otana	-0.561429357771712	0.707936798933108	0.589427768511113	0.0407282432988402	-0.679515609492065	1.27653919878824	1.00955979864731	1.294479855579	0.749282120192163	0.738267322989701	0.634051466521179	-0.343045025363998	1.60014371245391	0.775790936450839	-0.362447922643373	-0.574166227306881	-0.252994844604091	0.0974413084684881	0.194930714656798	2.0345849683397	0.472398729488613	1.00575825539678	0.227914483864558	-0.795059301861186	0.578030335368364	0.385196162337387	0.70135033712631	0.427431659387886	0.510967570740151	0.344616939162184	0.231636337155553	0.0181572441852165	0.188288013689643	0.439358992489302	-0.307891902659871	-0.227873381108491	0.75320072601691	1.02644092443625	0.505526338162188	0.727384559757431	0.253314989117975	0.0225295298296343	0.253314988855467	0.545606423528351	-0.488172235563537	-2.29743721245663	-0.368174257813713	0.0162941032904521	-0.935591975721721	0.01144678090184	0.495656179596594	1.30161391526094	-0.259384748261762	0.414308778740658	0.343502359679482	-1.14935557004395	0.166861782410379	-1.12159282575978	0.380267735003168	0.923391195005615	0.655172646720747	0.682212024258173	0.650183158924158	0.619450330293683	-0.719538483188432	-0.351557156866111	0.618113784649927	0.361000517270691	0.542271341275608	0.653246194746414	0.193366836006645	-0.113465356004784	0.361663568103045	0.050842949865122	-0.0292480655206587	-0.223243924575379	0.640261250871219	-0.805188745205191	0.603626830193552	-0.611725073245294	-0.466783726236262	0.395346643339487	0.464394177352252	-0.0902632828909988	0.382972951973695	-0.22324392611678	-0.548555171770281	0.269697061023534	-0.717272223864146	0.134000160160462	0.00872165088349215	-0.439319669434562	-0.621428801666536	-0.559288328785545	0.633379300776288	0.588567139865754	0.0107684737368535	-0.621463723552964	-0.557936131197629	-0.3600074026378
OtanaA	0.105394423035117	0.713643257674378	0.228919214274148	-0.31989715148013	-0.679515609492065	0.916071057209171	0.786953595335234	0.977367407108414	-0.135233802791009	0.76388562760452	0.703021220016895	-0.477050676633563	1.61988237743314	1.08754886655192	0.00817776193618543	0.388149362817062	0.690761095299817	-0.872950588948336	-0.67260793714562	0.60586358061695	0.572670860566231	0.959243156366733	-0.655879994004632	-0.378338810227444	0.03606969472655	0.132379813845489	-0.286868840855441	0.53376533637262	-0.276074396317183	0.825501982108056	-0.662564799228327	0.51782335349265	0.848013138936344	1.05317535622638	-0.107942964120282	-0.021500160869343	-0.173921635910869	1.18573778922753	-0.355542825601262	0.95815436723872	-0.437181543449709	-0.08478867384774	-0.437181543838532	1.04220435847549	-0.803166052014327	-0.882387870106402	0.385532459052142	0.638780146869787	-0.185294093355628	-0.0525227273068022	0.385586618800885	0.319840639494332	0.0492808489999818	0.0648910132937316	0.561805805045574	0.185890197391139	-0.489404075723088	0.10239307626332	0.616854904361712	1.19793636007356	0.750678952004658	0.950540019267651	0.808109725202465	0.751071762389795	-1.0206086955686	-0.590306320149051	0.954047911056493	0.449053652731653	0.936388581270829	1.0302401304303	-0.581867553050576	-0.54961423526651	0.452495191456161	-0.381168004116445	-0.329793530148925	-0.759983647585662	0.760219131565601	-1.14520067728735	0.713175831590813	-1.07831967922506	-0.982042842301142	0.485775562186184	0.557928199513816	-0.511553671696499	0.359950966597444	-0.759983635955558	-0.807565774748761	0.248986028250201	-1.06350943397914	0.132877444768244	-0.241036400741728	-0.991341503781104	-1.07672803485482	-1.04264129421797	0.775287302495649	1.14960924099323	0.240096915784762	-1.07830879296055	-1.11000552798027	-0.447970272859899
OtanaD	-0.775972868186087	0.527232272126228	0.679521847468006	0.221040940688325	0.270616817887153	1.69193694377521	1.00955979864731	2.42731045443526	-0.135233802791009	0.979862218039717	0.648712978976272	-0.767518994609604	2.11242055001154	0.423374209476551	-0.564908263451566	-0.491244816455161	-0.401907507972691	0.275193448781292	0.260820751167053	NA	0.376163609858981	1.52518350450402	0.645781599052631	0.499883284106514	0.521258785430693	0.382348383428597	0.544239175911904	0.326526914885447	0.504615191561699	0.0395591744493728	0.298139333058973	-0.255169333753762	-0.156599052645943	0.313567474997511	-0.307891902659871	-1.40858631739223	0.0258697290320888	0.489362860400224	-0.25392870470439	0.361347930598152	-0.433291070050675	-0.543032106274209	-0.433291070438786	0.204253066425806	-1.29407956955208	-1.77226252752661	0.817903985947261	0.686355799363123	-0.558752522739677	1.6268464925406	0.527282289415087	-0.0831739845082699	0.629632367613504	0.743889599001479	0.0687550791486636	0.134250466632222	0.955081745110798	0.208471501159353	-0.175582880485384	0.640990102478873	0.635111751995285	0.839338930154037	0.689871804767214	0.652736596605783	-0.934590634324497	-0.597180672113856	0.903624218948555	0.297332376495893	0.891177220294999	0.959034801844617	-0.601032267800899	-0.552865282571794	0.383953528756439	-0.453245761724698	-0.30884681954377	-0.740243304444776	0.64197594077815	-0.926950928568234	0.610783396209634	-0.989074403074463	-0.921134480410295	0.329881748138534	0.396177499935619	-0.525653033686446	0.206925615334617	-0.740243301793746	-0.752062418877146	0.11260881363623	-0.848816099794092	0.133689361159527	-0.348056091751315	-0.909583891200931	-0.987784868451907	-0.965358573946141	0.655413904095705	0.715618881973056	0.345334234931632	-0.989063645886323	-0.992193393899746	-0.296526908980643
OtanaI	-1.57878274077032	-0.309715009926694	0.769603005264312	0.0407282432988402	-0.679515609492065	-0.243658091713581	-0.179571907973619	-0.282843142227894	-0.135233802791009	0.622665276842604	0.723610569323903	-0.864874981811387	-0.371972922957059	0.887841736664448	-1.34777898246644	0.832360632810557	0.39440895528404	-0.014893284079801	-0.695556420538493	0.289652340556593	0.750746879916139	0.755068726586697	0.375793156660372	0.403362096628707	0.205355841536351	0.503045030728937	-0.673143062797234	0.725658509779205	-0.154655174738171	-0.350642694651701	-0.658211097264708	-0.748117401642309	-0.348091490951415	-0.173304291810286	-0.518114443629954	-0.227873381108491	-0.0708181049271513	-0.225066779459796	-0.33888289699758	-0.152213500233397	-0.438493593843939	0.132149098177149	-0.438493605221344	-0.335979972757829	-0.846340425735452	-1.10733211415461	0.0182668720563617	0.734001036246698	-0.473524011762649	-0.318100892340815	0.444720313408572	-0.470131069196033	0.840778997931791	-0.0208716430890044	0.806414728181742	0.77511587251058	-0.804870421911481	0.533267995797933	-0.716765272883724	0.652170308041951	0.319509289663272	-0.317775813391478	0.0571623907702514	0.104841749215775	0.335488007508352	0.668821171914282	-0.608605928165784	0.478030125631369	-0.7547244199028	-0.612556711366709	1.16603303352925	1.06842566126613	-0.187578184243583	1.27421166614221	0.847671588183858	0.948768284058541	0.198313155116402	0.204425167187495	0.184928077912771	0.682327488266193	0.833422012437027	0.515437553189596	0.588450083589097	0.961196746322786	0.883187679815282	0.948768287324239	0.453749369617795	0.734961342978702	0.33593695807701	0.130121514373039	1.01110752234453	0.873431593007378	0.677955999816838	0.749003180603201	0.113800993297151	-0.552623989766107	-0.992099698278453	0.682332761374004	0.750233484641382	-0.476893654802907
O706-100	-0.0369189304571826	0.337016980750564	-1.39625463351809	-0.31989715148013	-0.679515609492065	-0.243658091713581	-0.179571907973619	-0.282843142227894	-0.135233802791009	-1.48872790852654	-0.967253666139713	0.953255535572175	0.789104148422582	-0.396808701402627	0.240794364374217	0.413362886529927	0.839830868583823	-1.1465663558125	-0.764872438186149	NA	-1.07275657329558	-1.2859871594464	-1.08674680291521	-0.344629354131052	-1.20909373213586	-1.33077731305671	-0.441530280402577	-1.06501704796137	-1.11674323443675	0.206903800093911	-0.755380244292253	0.784507560373518	1.25980430578261	-0.409531604952833	0.77733522425382	0.768689125218102	0.191945511391512	-0.384603729760453	0.183423451439469	-0.259803764283835	-0.30900202596596	0.474695024563507	-0.309002037244379	-0.578641083292337	-1.09189437918154	-2.61842295483046	-0.280564265430778	-0.128612771951588	-0.220283285801673	0.0264541134821529	-1.32129758674217	-0.653426653769268	-1.24410195708748	-1.14574512395673	-1.28167752986106	-0.56886327542527	-0.352535926744938	-0.272737914134878	1.55680804965285	-1.27178978267732	0.232562788426475	0.747482693346145	0.460016005518422	0.457987710975438	-0.574538010393794	-1.28884892154212	1.08319810438651	-0.865836194284378	1.35510833160212	0.99835204361384	-4.25031524670876	-0.844977978173341	0.690661232391804	-3.24881069337408	-2.23644448066078	-2.88398904041462	0.339393623665353	-0.296080574015621	0.378249366440772	-1.0381742295604	-1.59339625567933	-0.89694222519447	-0.949749501349333	-3.43096401380814	-1.67800338948421	-2.8839890186531	-1.01911834139967	-1.44925061660901	-0.513472264839028	0.139282369701458	-2.4094785174704	-2.01039888920682	-1.03671848426849	-1.24911818313852	0.41271690007571	0.0906761923485064	2.41134247945152	-1.03816340157347	-1.31294040132399	0.86451084537855
